id,title,year,genre,certificate,time,ImdbRating,metascore,votes,simple_desc
tt2250912,Spider-Man: Homecoming,2017,"Action, Adventure, Sci-Fi",PG-13,133,7.4,73,654129,"Peter Parker balances his life as an ordinary high school student in Queens with his superhero alter-ego Spider-Man, and finds himself on the trail of a new menace prowling the skies of New York City."
tt0316654,Spider-Man 2,2004,"Action, Adventure, Sci-Fi",PG-13,127,7.4,83,652278,Peter Parker is beset with troubles in his failing personal life as he battles a brilliant scientist named Doctor Otto Octavius.
tt0369610,Jurassic World,2015,"Action, Adventure, Sci-Fi",PG-13,124,6.9,59,642699,"A new theme park, built on the original site of Jurassic Park, creates a genetically modified hybrid dinosaur, the Indominus Rex, which escapes containment and goes on a killing spree."
tt0418279,Transformers,2007,"Action, Adventure, Sci-Fi",PG-13,144,7.0,61,638010,"An ancient struggle between two Cybertronian races, the heroic Autobots and the evil Decepticons, comes to Earth, with a clue to the ultimate power held by a teenager."
tt3748528,Rogue One,2016,"Action, Adventure, Sci-Fi",PG-13,133,7.8,65,634390,"In a time of conflict, a group of unlikely heroes band together on a mission to steal the plans to the Death Star, the Empire's ultimate weapon of destruction."
tt2527336,Star Wars: Episode VIII - The Last Jedi,2017,"Action, Adventure, Fantasy",PG-13,152,6.9,84,630403,"The Star Wars saga continues as new heroes and galactic legends go on an epic adventure, unlocking mysteries of the Force and shocking revelations of the past."
tt1160419,Dune: Part One,2021,"Action, Adventure, Drama",PG-13,155,8.0,74,625654,A noble family becomes embroiled in a war for control over the galaxy's most valuable asset while its heir becomes troubled by visions of a dark future.
tt0114746,Twelve Monkeys,1995,"Mystery, Sci-Fi, Thriller",R,129,8.0,74,618210,"In a future world devastated by disease, a convict is sent back in time to gather information about the man-made virus that wiped out most of the human population on the planet."
tt0120903,X-Men,2000,"Action, Adventure, Sci-Fi",PG-13,104,7.3,64,616313,"In a world where mutants (evolved super-powered humans) exist and are discriminated against, two groups form for an inevitable clash: the supremacist Brotherhood, and the pacifist X-Men."
tt1798709,Her,2013,"Drama, Romance, Sci-Fi",R,126,8.0,91,611837,"In a near future, a lonely writer develops an unlikely relationship with an operating system designed to meet his every need."
tt1446714,Prometheus,2012,"Adventure, Mystery, Sci-Fi",R,124,7.0,64,610294,"Following clues to the origin of mankind, a team finds a structure on a distant moon, but they soon realize they are not alone."
tt0796366,Star Trek,2009,"Action, Adventure, Sci-Fi",PG-13,127,7.9,82,604150,The brash James T. Kirk tries to live up to his father's legacy with Mr. Spock keeping him in check as a vengeful Romulan from the future creates black holes to destroy the Federation one planet at a time.
tt0234215,The Matrix Reloaded,2003,"Action, Sci-Fi",R,138,7.2,62,595114,"Freedom fighters Neo, Trinity and Morpheus continue to lead the revolt against the Machine Army, unleashing their arsenal of extraordinary skills and weaponry against the systematic forces of repression and exploitation."
tt0413300,Spider-Man 3,2007,"Action, Adventure, Sci-Fi",PG-13,139,6.3,59,590419,"A strange black entity from another world bonds with Peter Parker and causes inner turmoil as he contends with new villains, temptations, and revenge."
tt5463162,Deadpool 2,2018,"Action, Adventure, Comedy",R,119,7.7,66,580124,"Foul-mouthed mutant mercenary Wade Wilson (a.k.a. Deadpool) assembles a team of fellow mutant rogues to protect a young boy with supernatural abilities from the brutal, time-traveling cyborg Cable."
tt1276104,Looper,2012,"Action, Drama, Sci-Fi",R,119,7.4,84,576481,"In 2074, when the mob wants to get rid of someone, the target is sent into the past, where a hired gun awaits - someone like Joe - who one day learns the mob wants to 'close the loop' by sending back Joe's future self for assassination."
tt0116629,Independence Day,1996,"Action, Adventure, Sci-Fi",PG-13,145,7.0,59,575968,"The aliens are coming and their goal is to invade and destroy Earth. Fighting superior technology, mankind's best weapon is the will to survive."
tt1219289,Limitless,2011,"Sci-Fi, Thriller",PG-13,105,7.4,59,574460,"A mysterious pill that enables the user to access 100% of his brain's abilities transforms a struggling writer into a financial wizard, but it also puts him in a new world with many dangers."
tt0119654,Men in Black,1997,"Action, Adventure, Comedy",PG-13,98,7.3,71,568864,A police officer joins a secret organization that polices and monitors extraterrestrial interactions on Earth.
tt1856101,Blade Runner 2049,2017,"Action, Drama, Mystery",R,164,8.0,81,568572,"Young Blade Runner K's discovery of a long-buried secret leads him to track down former Blade Runner Rick Deckard, who's been missing for thirty years."
tt4154664,Captain Marvel,2019,"Action, Adventure, Sci-Fi",PG-13,123,6.8,64,558475,Carol Danvers becomes one of the universe's most powerful heroes when Earth is caught in the middle of a galactic war between two alien races.
tt0409459,Watchmen,2009,"Action, Drama, Mystery",R,162,7.6,56,552391,"In 1985 where former superheroes exist, the murder of a colleague sends active vigilante Rorschach into his own sprawling investigation, uncovering something that could completely change the course of history as we know it."
tt0181689,Minority Report,2002,"Action, Crime, Mystery",PG-13,145,7.6,80,552046,"In a future where a special police unit is able to arrest murderers before they commit their crimes, an officer from that unit is himself accused of a future murder."
tt0290334,X2,2003,"Action, Adventure, Sci-Fi",PG-13,134,7.4,68,551221,"When anti-mutant Colonel William Stryker kidnaps Professor X and attacks his school, the X-Men must ally with their archenemy Magneto to stop him."
tt1323594,Despicable Me,2010,"Animation, Adventure, Comedy",PG,95,7.6,72,547678,"When a criminal mastermind uses a trio of orphan girls as pawns for a grand scheme, he finds their love is profoundly changing him for the better."
tt0470752,Ex Machina,2014,"Drama, Sci-Fi, Thriller",R,108,7.7,78,544896,A young programmer is selected to participate in a ground-breaking experiment in synthetic intelligence by evaluating the human qualities of a highly advanced humanoid A.I.
tt0343818,"I, Robot",2004,"Action, Mystery, Sci-Fi",PG-13,115,7.1,59,541109,"In 2035, a technophobic cop investigates a crime that may have been perpetrated by a robot, which leads to a larger threat to humanity."
tt11286314,Don't Look Up,2021,"Comedy, Drama, Sci-Fi",R,138,7.2,49,532740,Two low-level astronomers must go on a giant media tour to warn humankind of an approaching comet that will destroy planet Earth.
tt1318514,Rise of the Planet of the Apes,2011,"Action, Drama, Sci-Fi",PG-13,105,7.6,68,529468,A substance designed to help the brain repair itself gives advanced intelligence to a chimpanzee who leads an ape uprising.
tt6644200,A Quiet Place,2018,"Drama, Horror, Sci-Fi",PG-13,90,7.5,82,527328,"In a post-apocalyptic world, a family is forced to live in silence while hiding from monsters with ultra-sensitive hearing."
tt1483013,Oblivion,2013,"Action, Adventure, Sci-Fi",PG-13,124,7.0,54,526352,A veteran assigned to extract Earth's remaining resources begins to question what he knows about his mission and himself.
tt4633694,Spider-Man: Into the Spider-Verse,2018,"Animation, Action, Adventure",PG,117,8.4,87,523718,"Teen Miles Morales becomes the Spider-Man of his universe, and must join with five spider-powered individuals from other dimensions to stop a threat for all realities."
tt0945513,Source Code,2011,"Action, Drama, Mystery",PG-13,93,7.5,74,521282,A soldier wakes up in someone else's body and discovers he's part of an experimental government program to find the bomber of a commuter train within 8 minutes.
tt0376994,X-Men: The Last Stand,2006,"Action, Adventure, Sci-Fi",PG-13,104,6.6,58,517980,"The human government develops a cure for mutations, and Jean Gray becomes a darker uncontrollable persona called the Phoenix who allies with Magneto, causing escalation into an all-out battle for the X-Men."
tt0242653,The Matrix Revolutions,2003,"Action, Sci-Fi",R,129,6.7,47,513863,The human city of Zion defends itself against the massive invasion of the machines as Neo fights to end the war at another front while also opposing the rogue Agent Smith.
tt0458525,X-Men Origins: Wolverine,2009,"Action, Sci-Fi",PG-13,107,6.5,40,506118,"The early years of James Logan, featuring his rivalry with his brother Victor Creed, his service in the special forces team Weapon X, and his experimentation into the metal-lined mutant Wolverine."
tt1663662,Pacific Rim,2013,"Action, Adventure, Sci-Fi",PG-13,131,6.9,65,502776,"As a war between humankind and monstrous sea creatures wages on, a former pilot and a trainee are paired up to drive a seemingly obsolete special weapon in a desperate effort to save the world from the apocalypse."
tt0206634,Children of Men,2006,"Action, Drama, Sci-Fi",R,109,7.9,84,501174,"In 2027, in a chaotic world in which women have somehow become infertile, a former activist agrees to help transport a miraculously pregnant woman to a sanctuary at sea."
tt6723592,Tenet,2020,"Action, Sci-Fi, Thriller",PG-13,150,7.3,69,499976,"Armed with only one word, Tenet, and fighting for the survival of the entire world, a Protagonist journeys through a twilight world of international espionage on a mission that will unfold in something beyond real time."
tt1872181,The Amazing Spider-Man 2,2014,"Action, Adventure, Sci-Fi",PG-13,142,6.6,53,498181,"When New York is put under siege by Oscorp, it is up to Spider-Man to save the city he swore to protect as well as his loved ones."
tt2872732,Lucy,2014,"Action, Sci-Fi, Thriller",R,89,6.4,61,497179,"A woman, accidentally caught in a dark deal, turns the tables on her captors and transforms into a merciless warrior evolved beyond human logic."
tt0800080,The Incredible Hulk,2008,"Action, Adventure, Sci-Fi",PG-13,112,6.6,61,492915,"Bruce Banner, a scientist on the run from the U.S. Government, must find a cure for the monster he turns into whenever he loses his temper."
tt0289879,The Butterfly Effect,2004,"Drama, Sci-Fi, Thriller",R,113,7.6,30,490388,"Evan Treborn suffers blackouts during significant events of his life. As he grows up, he finds a way to remember these lost memories and a supernatural way to alter his life by reading his journal."
tt6320628,Spider-Man: Far from Home,2019,"Action, Adventure, Sci-Fi",PG-13,129,7.4,69,489790,"Following the events of Avengers: Endgame (2019), Spider-Man must step up to take on new threats in a world that has changed forever."
tt1408101,Star Trek Into Darkness,2013,"Action, Adventure, Sci-Fi",PG-13,132,7.7,72,484235,"After the crew of the Enterprise find an unstoppable force of terror from within their own organization, Captain Kirk leads a manhunt to a war-zone world to capture a one-man weapon of mass destruction."
tt1270797,Venom,2018,"Action, Adventure, Sci-Fi",PG-13,112,6.6,35,484032,"A failed reporter is bonded to an alien entity, one of many symbiotes who have invaded Earth. But the being takes a liking to Earth and decides to protect it."
tt0119116,The Fifth Element,1997,"Action, Adventure, Sci-Fi",PG-13,126,7.6,52,474425,"In the colorful future, a cab driver unwittingly becomes the central figure in the search for a legendary cosmic weapon to keep Evil and Mr. Zorg at bay."
tt1477834,Aquaman,2018,"Action, Adventure, Fantasy",PG-13,143,6.8,55,473249,"Arthur Curry, the human-born heir to the underwater kingdom of Atlantis, goes on a quest to prevent a war between the worlds of ocean and land."
tt1430132,The Wolverine,2013,"Action, Sci-Fi",PG-13,126,6.7,61,467886,"Wolverine comes to Japan to meet an old friend whose life he saved years ago, and gets embroiled in a conspiracy involving yakuza and mutants."
tt1790864,The Maze Runner,2014,"Action, Mystery, Sci-Fi",PG-13,113,6.8,57,467593,"Thomas is deposited in a community of boys after his memory is erased, soon learning they're all trapped in a maze that will require him to join forces with fellow ""runners"" for a shot at escape."
tt2245084,Big Hero 6,2014,"Animation, Action, Adventure",PG,102,7.8,74,461589,"A special bond develops between plus-sized inflatable robot Baymax and prodigy Hiro Hamada, who together team up with a group of friends to form a band of high-tech heroes."
tt1840309,Divergent,2014,"Action, Adventure, Mystery",PG-13,139,6.6,48,461186,"In a world divided by factions based on virtues, Tris learns she's Divergent and won't fit in. When she discovers a plot to destroy Divergents, Tris and the mysterious Four must find out what makes Divergents dangerous before it's too late."
tt1951265,The Hunger Games: Mockingjay - Part 1,2014,"Action, Adventure, Sci-Fi",PG-13,123,6.6,64,456276,"Katniss Everdeen is in District 13 after she shatters the games forever. Under the leadership of President Coin and the advice of her trusted friends, Katniss spreads her wings as she fights to save Peeta and a nation moved by her courage."
tt0974015,Justice League,2017,"Action, Adventure, Fantasy",PG-13,120,6.1,45,452887,"Fueled by his restored faith in humanity and inspired by Superman's selfless act, Bruce Wayne enlists the help of his new-found ally, Diana Prince, to face an even greater enemy."
tt0407304,War of the Worlds,2005,"Action, Adventure, Sci-Fi",PG-13,116,6.5,73,449829,An alien invasion threatens the future of humanity. The catastrophic nightmare is depicted through the eyes of one American family fighting for survival.
tt2527338,Star Wars: Episode IX - The Rise of Skywalker,2019,"Action, Adventure, Fantasy",PG-13,141,6.5,53,449620,"In the riveting conclusion of the landmark Skywalker saga, new legends will be born-and the final battle for freedom is yet to come."
tt0319262,The Day After Tomorrow,2004,"Action, Adventure, Sci-Fi",PG-13,124,6.4,47,449413,"Jack Hall, paleoclimatologist, must make a daring trek from Washington, D.C. to New York City to reach his son, trapped in the cross-hairs of a sudden international storm which plunges the planet into a new Ice Age."
tt1535108,Elysium,2013,"Action, Drama, Sci-Fi",R,109,6.6,61,449375,"In the year 2154, the very wealthy live on a man-made space station while the rest of the population resides on a ruined Earth. A man takes on a mission that could bring equality to the polarized worlds."
tt2103281,Dawn of the Planet of the Apes,2014,"Action, Adventure, Drama",PG-13,130,7.6,79,442501,The fragile peace between apes and humans is threatened as mistrust and betrayal threaten to plunge both tribes into a war for dominance over the Earth.
tt3385516,X-Men: Apocalypse,2016,"Action, Adventure, Sci-Fi",PG-13,144,6.9,52,435787,"In the 1980s the X-Men must defeat an ancient all-powerful mutant, En Sabah Nur, who intends to thrive through bringing destruction to the world."
tt1677720,Ready Player One,2018,"Action, Adventure, Sci-Fi",PG-13,140,7.4,64,435561,"When the creator of a virtual reality called the OASIS dies, he makes a posthumous challenge to all OASIS users to find his Easter Egg, which will give the finder his fortune and control of his world."
tt0120591,Armageddon,1998,"Action, Adventure, Sci-Fi",PG-13,151,6.7,42,427136,"After discovering that an asteroid the size of Texas will impact Earth in less than a month, NASA recruits a misfit team of deep-core drillers to save the planet."
tt1772341,Wreck-It Ralph,2012,"Animation, Adventure, Comedy",PG,101,7.7,72,423246,"A video game villain wants to be a hero and sets out to fulfill his dream, but his quest brings havoc to the whole arcade where he lives."
tt0217869,Unbreakable,2000,"Drama, Mystery, Sci-Fi",PG-13,106,7.3,62,418845,A man learns something extraordinary about himself after a devastating accident.
tt0119567,The Lost World: Jurassic Park,1997,"Action, Adventure, Sci-Fi",PG-13,129,6.5,59,418839,"A research team is sent to the Jurassic Park Site B island to study the dinosaurs there, while an InGen team approaches with another agenda."
tt0289043,28 Days Later...,2002,"Drama, Horror, Sci-Fi",R,113,7.5,73,415777,"Four weeks after a mysterious, incurable virus spreads throughout the UK, a handful of survivors try to find sanctuary."
tt0831387,Godzilla,2014,"Action, Adventure, Sci-Fi",PG-13,123,6.4,62,414938,"The world is beset by the appearance of monstrous creatures, but one of them may be the only one who can save humanity."
tt1637688,In Time,2011,"Action, Sci-Fi, Thriller",PG-13,109,6.7,53,412595,"In a future where people stop aging at 25, but are engineered to live only one more year, having the means to buy your way out of the situation is a shot at immortal youth. Here, Will Salas finds himself accused of murder and on the run with a hostage - a connection that becomes an important part of the way against the system."
tt0083866,E.T. the Extra-Terrestrial,1982,"Adventure, Family, Sci-Fi",PG,115,7.9,91,409834,A troubled child summons the courage to help a friendly alien escape from Earth and return to his home planet.
tt1399103,Transformers: Dark of the Moon,2011,"Action, Adventure, Sci-Fi",PG-13,154,6.2,42,409644,"The Autobots learn of a Cybertronian spacecraft hidden on the moon, and race against the Decepticons to reach it and to learn its secrets."
tt1055369,Transformers: Revenge of the Fallen,2009,"Action, Adventure, Sci-Fi",PG-13,149,5.9,35,407845,"Sam Witwicky leaves the Autobots behind for a normal life. But when his mind is filled with cryptic symbols, the Decepticons target him and he is dragged back into the Transformers' war."
tt1355644,Passengers,2016,"Drama, Romance, Sci-Fi",PG-13,116,7.0,41,405918,A malfunction in a sleeping pod on a spacecraft traveling to a distant colony planet wakes one passenger 90 years early.
tt9419884,Doctor Strange in the Multiverse of Madness,2022,"Action, Adventure, Fantasy",PG-13,126,6.9,60,405154,"Doctor Strange teams up with a mysterious teenage girl from his dreams who can travel across multiverses, to battle multiple threats, including other-universe versions of himself, which threaten to wipe out millions across the multiverse. They seek help from Wanda the Scarlet Witch, Wong and others."
tt1690953,Despicable Me 2,2013,"Animation, Adventure, Comedy",PG,98,7.3,62,401509,"When Gru, the world's most super-bad turned super-dad has been recruited by a team of officials to stop lethal muscle and a host of Gru's own, He has to fight back with new gadgetry, cars, and more minion madness."
tt5095030,Ant-Man and the Wasp,2018,"Action, Adventure, Comedy",PG-13,118,7.0,70,401175,"As Scott Lang balances being both a superhero and a father, Hope van Dyne and Dr. Hank Pym present an urgent new mission that finds the Ant-Man fighting alongside The Wasp to uncover secrets from their past."
tt0181852,Terminator 3: Rise of the Machines,2003,"Action, Sci-Fi",R,109,6.3,66,400851,A machine from a post-apocalyptic future travels back in time to protect a man and a woman from an advanced robotic assassin to ensure they both survive a nuclear attack.
tt1060277,Cloverfield,2008,"Action, Adventure, Horror",PG-13,85,7.0,64,400478,A group of friends venture deep into the streets of New York on a rescue mission during a rampaging monster attack.
tt12361974,Zack Snyder's Justice League,2021,"Action, Adventure, Fantasy",R,242,8.0,54,396100,"Determined to ensure that Superman's ultimate sacrifice wasn't in vain, Bruce Wayne recruits a team of metahumans to protect the world from an approaching threat of catastrophic proportions."
tt1190080,2012,2009,"Action, Adventure, Sci-Fi",PG-13,158,5.8,49,378788,A frustrated writer struggles to keep his family alive when a series of global catastrophes threatens to annihilate mankind.
tt0119094,Face/Off,1997,"Action, Crime, Sci-Fi",R,138,7.3,82,378576,"To foil a terrorist plot, an FBI agent undergoes facial transplant surgery to assume the identity of the criminal mastermind who murdered his only son, but the criminal wakes up prematurely and seeks revenge."
